010101111,001110110,110110011,011111000,110011110,111000101,101101010,001011011,100111101
101110010,011011110,110010011,000111111,011101011,011110101,101011001,101000111,110101100
101100011,011101010,111011001,101001110,010010111,111110100,100111010,110101101,001111101
010111110,100010111,111010100,110101001,101001110,101110010,011011011,001111101,011100111
000111010,111110000,001101001,101011100,010111101,011010111,110001011,100100111,011101110
001111011,111110001,101101100,010100111,010111100,011001101,110001010,100011111,011010110
110111010,111100001,000101111,101010011,110010101,001111001,011001011,101001100,011110110
001111001,111110100,100010011,001011110,100101110,011100111,111001010,010111010,110011101
010110110,100110011,101111100,110101101,011101010,000001111,011010001,110011010,111000110
010001110,001101011,101000111,100011011,011011101,110101101,101111100,111110010,000110111
011011000,110110001,100111100,101010101,110001110,011101101,101101011,000011111,011110110
001111101,100110011,111010100,110001101,011011011,101101110,111101000,010111110,011100111
110101011,011101110,011011011,101001111,010011101,101111000,110010110,111100101,000110111
011011010,001100011,001110100,111010001,110100110,011001101,111101000,010111001,100011111
110110011,011010101,101100101,111000010,100011111,001111001,110111100,001110110,010101111
001001111,101011100,100011011,011111001,010010101,101110111,111000010,010111110,110101101
100111011,010011010,111010001,101001111,001111101,101110110,110101100,011101010,010100111
000111101,101000111,110011100,110101011,100111010,010110110,011011011,111110001,011101100
101111101,100011110,011011100,010101111,110110001,001110110,111000111,111101010,001011011
101111001,101110110,110010011,110111100,100101111,011100101,111001010,010111010,001011111
