101101011,010101101,111001000,111100110,010111010,110010011,001011111,100111100,011110001
011100010,011001100,010111000,001011011,101101001,001110101,111010000,110000111,100111110
011011110,110101100,110001011,100010101,111100111,000111111,011110001,001001101,101111010
010010101,110100011,010011010,011001111,100101100,111000100,011111001,001110110,101011011
101101010,100001111,010000110,001011110,000110111,011101101,010011011,110111100,111010001
010001000,011010111,110100101,100011011,001101001,101011100,010110000,000101110,111100010
110101001,011001011,010110111,011111000,000111011,101100110,101010001,000011101,110011010
000011011,111100010,100110111,011100101,110011100,001010110,000101110,101001111,101111000
011111000,110101101,101110011,110010001,110010110,011000101,111001010,000011111,010100011
000111110,110101011,100100110,011110101,100011101,101010011,001101101,011001110,111111000
100111100,001111111,101010101,010010110,110001011,011011000,011001100,111100010,010100001
100111000,111101001,010100100,100100011,111110010,010011111,001101110,001110101,101000100
110100100,100010011,010011100,000101111,101111000,101001001,001010110,011110001,011001010
101010011,111100010,011001100,110011000,001111010,011110101,100101001,010001011,100110110
111100100,101101011,001011010,110010010,010111100,101011101,011001111,011110001,000110111
101010101,010111001,101001011,110100100,011010010,000111110,011001101,101111000,001100011
000111010,100001111,011001101,110110100,100101000,110011001,010100011,101110001,111000010
110110010,100000111,011011010,111100100,100111100,101010000,010010101,111101001,001110111
001011100,100101111,101000001,110101100,110010011,000111001,101110010,011100101,011001010
001101100,011011010,010011101,101001001,100001110,111001100,101010100,110111000,111100111
