00000000000000000000001000111100,0000000000000000010100110000100,000000110000000010010000010000,00011010100000000000100001000,0000000100100001100000100000,000000000000111000000001000,10000000101000010011000000,0000000100000000000000010,001010010000000010001000,00000000100010000100010,0000001000001000000000,000110000000000010001,00000001000000000001,1000000001010000000,000100101000000001,00000000000000100,0001000001000000,000000010000001,00000100100001,1000010010000,001001000010,10000001000,0001001000,000000110,01000100,0100000,000000,00000,0001,000,00,0,
10001100010000000000000010000000,0000000010100000000000101000000,000010010000000000001000100000,10000100000000000000001100001,0000000010010010001001010000,101000000000000100000000001,00001000000000010000110000,0000110000000100010001000,000000100001101100000100,00000000000000110100010,0000011000000000000000,101100010000000100000,00000100000000000101,0010001000010000000,101000000011000000,00000000000000010,0100000000000010,001010000001001,00000000000011,0001000001000,000000100100,00001001000,0100011000,100000000,00000000,0000000,000000,00000,0100,010,00,0,
00000000001010000000110000000000,0000100100001000000000000100000,000000000010001010000100000001,01000010000100010000000100000,0010000000100001100000001000,000000000101100010000000000,00001000000100000010100100,0000001000000010001001100,000010100000000011010000,10101001000100000000000,0000000000001000010100,000010010100000000110,00000100100101000000,0001000000001000000,000000010000000010,00000100010000000,1001000000000010,000000000001000,01010000010000,0000000000000,000000010000,00000000001,0000000000,100011010,10000010,0000000,000100,01001,0001,000,00,0,
00000001000010001000101000000000,0100110100000101000000000000001,000000000000000010010000000001,00000000000100000010000000100,1000000000010000001100000000,001000100000100010000000000,00000001001010000000100000,0110000010001000000000000,000101100000000000000010,00000000000100010000000,0100000011000100000100,000100101100001000000,00000000000000000101,0001100000100010000,000010000001010000,00000000000000010,0000001000010000,000000000001000,00010000100000,0110100000000,000001001000,01000000000,0010001000,000100001,00000010,0011000,010001,00110,0100,010,00,0,
00011000100000000000001000100000,0000000000000000000001110000001,001000010000101000000100000100,00000000000000111011000000100,0000001000100001000000100010,000000001011000001000000000,00000100001000100000110000,1000010000100000100010000,001001000010000000000001,10000000000010011010000,0000000001100101000000,100110000010000000000,00000000101000000000,0000000110000001000,000010100000000000,00100000010000000,0000000001001000,000000000010000,00001001000000,0000010100100,100000000000,00000000000,0000000000,000000001,00100000,0010000,001000,00000,0010,110,10,1,
00000100010000000110010000000000,0000001010001100000000000100000,011101000000000000000000000100,00000000011010000010100000000,0000000000001010000110000001,000100100000100000000100100,00010000000000000000001000,0100000001001000001000000,000000000001011000000010,10000000000101010000000,1000010000000000000001,010000000000000000000,00000101000000000001,1000001000010001000,100100000000000000,00000100000010100,1000000000000110,000000000000010,10000000000010,0000010000000,000000000001,00100000010,1001010000,010000000,00100001,0001000,111000,01000,0101,010,00,0,
01000000000000000011000010000110,1001000101000000000100000000000,000010000000000000000000000101,00001000000001000100000100001,0000100010001000010010000000,000010010010001100000000000,00001000010000001010011000,1000100100000010000010000,100000000010000000010000,01000000100000100000000,0010000110000000000000,000000000000000000010,00100000100111000000,0100000000000000001,101100001000000010,00000000000001000,0000010000101100,001010000000000,00001100000100,0000001001010,000100010000,00010000000,0000000000,000010001,01100000,0000000,000001,00010,0000,000,00,0,
00001100000001000000000001000000,1000000000000100010000010000000,000000000010010100001000100000,00000001100000000100011100000,0010010010100000000000001000,000001011000010000100000000,00010000011000000000000010,0000000101001000101000000,110000000001000000100100,01000100000001000000000,0000000010100000000000,000110000000000000000,00000100000110000011,0000000001000000000,000000000000111001,00000000000010010,1100000000001100,000000100000000,01000000010000,0100100000000,010000000000,11001010000,1000001010,000000000,00000000,0001000,000100,00000,0000,000,01,1,
00011000100000000000001000100000,0000000000000000000001110000001,001000010000101000000100000000,00000000000000111011000000100,0000001000100001000000100010,000000001011000001000000000,00000100001000100000110000,1000010000100000100010000,001001000010000000000001,10000000000010011010000,0000000001100101000000,100110000010000000000,00000000101000000000,0000000110000000000,000010100000000000,00100000010000000,0000000001001000,000000000010000,00001001000000,0000010100000,100000000000,00000000000,0000000100,000000001,00100100,0010000,001000,00000,0010,110,10,1,
10100011000000000010001000010000,0000000000000000000010000100000,000000000000110010000010000100,00000000000010100000001000010,0001010001000000000000001101,000000000001001100001000001,01001000000000000000100000,0000100000000000000011000,000000000000100000000100,10100101100001000000000,0001000000001100000000,001011000000000110000,00000000100000001010,0000100010000010001,000000000000010010,00000000001010000,1000000000000100,000000000000001,00010010000000,0001010000001,011001000100,00010000010,0000000100,000000000,11100000,0100000,000000,01000,0000,001,00,0,
