011110111111110000000000,011110110000001111110000,000111001111000011111100,000001110011111100111100,011001001100111111001100,101011110100010001100101,111101011010000100010101,110111100001101010000101,101010000111101101011001,100100101010110111101001,110000011101011010111001,101101110100100010011010,111011101001000100101010,110111010010011001001010,101100000111011110100110,100010011001110111010110,110000101110101001110110,011001000011110011110011,010100100101010101011111,010010010110100110101111,000111001100111100110011,001010101010011010011111,001100011001101001101111,000001111111001111000011
111011011000011100010001,100101101000010111001101,110100111111010000100001,011000100101111101001010,001110011001110010000110,011110100110010011010100,010100100001001110110111,011100110010100000011111,000101010111111100011100,110011110011001011001110,100111101100101000010010,111001101101100010111100,110110000010110110111010,100000111010111101110100,000011110100010001111011,001111100011100101100001,101001000110111010100111,111101010100000101100110,001110111110001110101000,010110001100101001101101,001101001011011001111010,101010001111000100011111,101100010101101011011001,010001011110100111010011
001100011001011001101111,011111011110100000111000,011001000111110100001111,001000100101101101110100,010101010100010011110110,111010101010100010100110,000011110010101011001101,100011001111001000010111,011010001100001111011010,101101110000000100011111,101101101100111010000001,110110100001111000011100,111100100111000011111001,100010010100110110111011,101001011011110111011100,010100111011101110010011,001110110111010101000010,110110011100100101000101,110001111101100001001010,111011010001001110100000,110000111110011100101100,000111101101000110101100,100101000010101101101010,010011101000010101110001
010100110010110111010011,101001110001111100110011,000101100111011110101110,110001010111000011100010,110000110100001101011100,010011101111101100000001,100110101101010111110001,100101111010101010111000,001000011101101111001010,100010111010100101100110,101001011110010110001101,010000001011110001111101,001001101110011001010010,111111100001110001001000,111100101001001010000111,011010110100111010100100,100011000100101011011111,001110110111000000111011,010111011000011001101011,101100000110101101100001,011101001100100100110110,100110011111111000010110,001111010011001111010100,111010000010011110111010
101000000101001111100111,001000011011000110111110,010101010001101110100100,110001111011011101010101,000110101001111101110010,101001100110110011110100,111100000011110001001010,010101001100010111011110,001100110101011010011001,010110101111100011001101,001011000000101101011101,011001101110111100101011,111011101001000110101000,011110001010011011100101,100101111000001001101110,100111000111010100101101,110010110000110010111111,001011011101110000000110,010011010111001001111010,111100011100100101110001,100101001011101010010011,100010011110111111001000,001111110010000111000011,111110100110001100010110
011110111101000100110001,100010101000100101101111,010011110110110010100101,100000011111101110010110,111111011000010110001100,001110111011101011001000,101110000101010011000111,110100010000111101000001,010010000001011111111100,010101100011000110001011,101101010001101000111101,011110000110101100001110,100110001110011010111001,001011010010001111100011,011001101000111010010111,001000011110010101011101,010111011011110001110010,000101101101011101100100,001100110100110110111010,101011100011110100010000,111001001101100011101000,111000111011011000101010,110011110100001001011010,111100100010000011110100
011101010100111110100001,110101010010101011000110,000010110110111101010001,100011011101011011110000,011111101101100001000010,111110001110110110011000,101111000011010101100101,111010110000110001101100,001101111000011101011100,100011011100100100001111,101100100100001011101011,000101110111010010001100,110000100101010111010111,001110111010000010110111,000110001001111110101110,100101101010110000110011,001001010011100111111010,011011000110011000111110,010011101010001111101001,101000101111101100100100,110110110001001100111010,101011100001101010011101,111000011011011000001011,010100001101100001111101
110101001011110011101001,101100010111110100100010,001001111110101000111001,101100011000101011001110,111100101000000110110011,010000010101101111111010,011010001110011010100110,100111000101001000111111,011111010000100001110100,010110111001101000000011,111110110011011010011000,110011011011000100001110,011100101101010001001110,001111001111001111010000,101011100000011101101011,000110110110000111001101,100011111100110010010010,100010101011101001110100,000101111001011110100100,010101100010111100011110,001001010011010011010111,001010001001110110011101,111001100101101110000101,110000011100011101010101
000101100110110101011011,100001011011111111100000,100111000111001100001100,010100001111001011000011,101001000100011010101111,101100111011000100100011,011000011101110100001001,110000110110101000110101,100010001101100001111010,111111011110010010010000,000011101101011110110001,010010010011010110111110,010111011000011001101101,011101000001100111110101,011011110100101101100010,101010010000001111011001,000100011100101110010110,110101110001101010011010,001011010011111000010111,001110101010111010101000,111000101001011101010110,001001111111000011011100,100110110101110011000101,110011101010100110001111
001101000111111011101000,110100110001010011111100,101111010011000100111010,101010101001100111100010,100110100100111101011010,000011110100100110101101,001000111011101101011101,100110001000011111101101,110000110111011100100001,101010000111110010010101,111011101110010001001100,110010010010101011001010,010111000001110101000111,000110111010111000100110,011100011100110110001011,100001011010110001110011,110001001101101000111110,011000000110000111110110,011011100000011010111011,101101110100001011000111,110101101010101110010000,000110101111000011011011,000011011101011111010000,011110011100101001110001
010000100101000110110011,111011111010000110011000,111000011011110010110101,010110011001011010001011,001110101000100111101101,101011110101100000001101,100011101011001001100111,010101001111010101011101,111101100000110000010011,011000101110101000001110,110111000100101010111100,101101100111011011101000,100011000110110110001011,001101010011101110000110,101000010000011101011111,110010100001111111000100,100100111100010100100110,001011001101111100110000,101110001101000011010010,110001011001100101101010,011011010100010011100110,000001111100101011010001,111110010110101101100001,000110110011110001111010
001110101110000001101101,100011101101011100000111,110110110110011001011010,110010100011100100111100,111110010000001110100111,001110101010111110010000,101100111001010101110110,011101000011111000001111,100111001000110011111011,100101010110010110101100,101000000101101011011100,010001011000001101011101,101001110110101000110001,111010011011010010001001,011101100101000110011001,011011110000110011000100,100100110011100111001011,010110010101111101100001,010000111100111010101010,110101101011001011100000,000111011111100010010110,010000000110010111110111,001011010011001111101010,111001001110100101000010
111010100011110010110000,101111100100111101000001,000010111111110001000010,111011001001001001010110,000110001011001111100101,110110010110011100010100,100101000111000011011000,010001100011101100001100,001111010010101000111011,011110101100100101111100,011101011101110000000101,100001111101101110110000,110010000101100100101011,010000110101011001111001,100001101110010000110111,100011010000110011101100,011001010110000111100010,101100110001010100101110,111010111110001010001101,110100110000100011010111,101000011010110101011001,010111101000010110011011,110100001010111011101010,001000000101111110011110
000110011101110011101100,101011010001001101111010,010000110111001110001110,100110100011100011010111,101000100100011011011101,000101101110000101101011,110111010000010100011101,110101101001011111000010,110010001101101110101001,110010111110010010110010,011101100001100010111000,011110100010001101100100,001110011010011010001011,101111101100101000000110,010011110111111001000001,000100111001001000110101,001011001111010110010100,101000111011110100001000,111001011010000011100101,011100011100100101010011,001011110000110110100111,111100000111010000100111,010001001010111001111110,100101010110111110110000
101011001110000111001011,001000101011001010110011,100110011100110001110011,000110101010010110010101,110101100110001111110000,000101010111000010101101,100000100001110111101111,101101110010101100000111,011100011100011110101110,111101001011110010000000,010111001001001011000111,110011111000000010111110,001111111001010101101000,100010111101101110000100,011010010010100111100001,010011101110111000101001,000011010011111110011010,101110000010101001111100,110000011011001101011001,111010110111010001000110,001001110100111011011101,011110100101100100011011,111011000101011100110101,010001001111100101110110
000100111101100001111100,001001011110000010111011,011000111100101101000011,000110100110011011101011,011110010001100010100111,011001000010111001111100,000100011010110110010110,011111101100010010000100,001011110101111110110000,101110001000001110011101,100001100000100111101110,001101101011001100100010,111100010111000111001000,110101111011111010001001,110111100110100100110001,000011001111101111000101,101010111010010001100101,010011110001010101011111,110101010100011100100101,101101000101110001010011,110000100111001010010110,010000101001010111110001,110010001101110100101010,110111011000001011110010
