11110001110,10100101101,10111011001,00010111111,11110110000,11000011011,10011101010,01001111100,11011000101,10101010110,01101100011
10101011110,01011010101,11001101110,00010111110,11010011010,10110000111,11100110100,10111101001,01100011011,10001110011,01111100010
11111000010,11001001101,01110011100,00011100101,10110001111,10111101000,00101011011,01100101110,10001110110,11100110001,01010111011
11101010100,01011000111,01100101010,00100110111,11000101101,10111100110,10001011011,00111001001,00011111100,11010110001,10110011110
11011100010,10111001100,10110111001,01011110100,10100110110,00111011010,11101011001,11010011110,00001101111,01110000111,10011010111
01110001001,00001111001,11011011110,10101010111,11000110011,01111110000,10010110101,11101101100,00100111110,10111101010,01011100111
01101010111,10000101111,11001110001,01011101100,00100111101,01010011011,10111110010,10111001001,11110100101,11100011100,01100101010
10110110101,01100011001,10011011001,00110101011,11000101101,01010111110,10100001110,00101101100,00001110111,01111000111,11101110010
10101011010,01100010111,01001110110,11000101111,10010110011,00011000111,11010011100,11110000010,01111111001,10101100101,00110101110
00110010111,01101100101,01001011110,10100110011,10111011000,11011000011,11010111100,10000001111,00011111001,10011100110,01110101010
10110001011,00000101111,10111111100,00011010111,01010011110,11010111001,11011100010,11001001101,01110100101,11100010110,01101111011
10110111001,11001011101,11101100011,10111101100,01110001111,01111011010,00100111110,11010110110,00011101011,01111110101,10111010111
10100011101,11000110011,11111000101,00101110110,11100001110,01101101001,00110100011,11010111100,10001101111,01011011111,10111011010
00101101010,01001010110,00111100100,01100111101,10001110001,00110110011,11111011000,11100100110,01011101011,10101001111,10010111110
01011001111,10000101011,11101011000,01100110101,10101010111,11110000011,10010011110,10111101101,00111111010,11011110001,11001100110
