1111111111000000,1111110000111100,0011110110011011,0110111010100111,1101011100001111,1011101001101011,1110100101010111,1101010011110011,1110001110111010,1001101110110101,0011011101110110,0111000111101101,0101101011011110,0100111101111001,1000110111101110,1010011011011101
0110111110001000,0011011101000110,0110010010110111,1100111001010010,1010101100110101,0001101011101011,1001010111011001,1000110100101110,0111001100111010,1110001011101100,1011100010011110,0110100101001111,0101111000011101,0101100111110100,1101001110000111,1111110000100001
1010011001001011,1000101100111010,0110100000111011,1110001010011100,0011101011101000,0000001011110111,1100010111110000,1011100111010101,0101000101001110,1101101001100101,1001010010111101,1010110010100110,0011011100110100,0100111110001101,1111001110100011,0101111010010010
0110110101011010,0010101011001111,1010010000111001,0110001110111100,0100110010010101,1100010011101110,1101001001011100,1000101110110010,1110011111000001,0101100101101001,0111111000100010,1111000100000111,0001011110011011,0000011101110111,0011110111110100,1000111100001100
1011101110110000,1010001100101111,0111011010001101,1001010011010011,1101101000000011,0000111100011110,0100001011110101,1100001111001000,0111011101110010,0010111011101010,1100110000111001,1100110110100110,0001100101101101,1010111101000101,1111100001011110,0110100110010011
0011001101011001,1001100011111110,1110100000111101,1000011101101011,1011001010100101,0111111000110010,0110010011111100,1110100111100000,1101010110001001,1101111001000100,0010110011000011,0000111110110101,1010010100010110,0110101110001110,1100001011010011,1010111010011000
1100101101101010,1011100101011001,1101110111010100,1011011011101000,1010110000001110,1101000000101111,0111010101000011,1110100110100101,1110001001010101,0111101010011010,0000001111001111,0110010101111100,1011001100110110,1100011110011001,1000110011110011,0001111000100101
1110101111000100,0001110011010101,0111011000000111,0110111001111100,0110110110110010,0100001011110011,1101010101100000,0011000011101110,1000111100101111,0011101101010010,1101111010001010,1101000100011101,1111100000100001,1011011010110100,1010010001011011,0011011110001001
1010001100000101,0001111100110011,1101101001010001,1001111000001110,0100011110011101,0110011001110110,1011010111010000,1111001110111010,0111010010000111,0110110100001000,0101101111100100,0011000101011111,1010100010111101,1100100110010110,1100010101101011,0010101011001011
1000100110101001,1100000010011111,0101001111100101,1110110010100110,0011111110011100,0001100000111110,1010001011101010,1000111001110101,0110100101111100,0111100011110001,1011100101000111,0000010111110010,0010010000101101,0100111001001011,1101010001001000,1111011100110011
