10001001111,10001110001,11011010110,00111010011,01011001001,11100011010,11110100101,00101011100,10111101010,00010111111,01101100110
01110110001,10000101011,10011011001,00111101100,11001110110,00010011110,10111000111,11110001010,01000001101,00101011011,10100011100
11110101000,10001101100,00011101011,10101000111,10010011001,00111110100,11011000000,11000110010,01010100101,01010011110,01101011001
10100101001,01010110001,00011101100,00011001011,11000011110,11111000100,10001010101,00110110111,01001100111,10011110010,01101011000
01001011011,11100011100,01011101110,00101110000,01101000111,10101001010,10011001101,11110100001,11011010010,10000110111,00110011111
00100001111,00111111100,01101100001,00010110011,01110010110,00011001010,11110101010,10111000101,11000011001,11001100110,10101010010
11101110010,10001101110,10100011001,11110001110,01101001001,00111111100,01010111011,11011100001,00100100111,00011010111,11000110101
00111111001,11111100100,01000101101,10100110111,11001110011,11100011000,01110110010,01111010101,01101001011,00001011110,10010001011
01100110011,11011100010,10001111010,10010110101,11010001011,00111010011,01001011110,11110011000,11001010001,00101101101,10100000110
01100111010,10010100010,11001110100,11001001011,10111011110,11110010001,00011111001,10100111001,00101100111,00000011111,01110101100
10101001101,10001110001,11010011001,01110100101,10011101110,00000111111,01111000011,00111010100,11001010110,10100111010,01001111000
11101000011,00110001101,10001011100,11010100111,00100111011,01010011010,00011010111,10111101010,01101110100,10110010000,01011111001
10110110101,01011111100,00110001111,11100010110,10000111011,10011001110,11111100010,01011010011,11001100101,00101110110,10101011001
10100011001,11000000111,01110100011,10100110010,10011110001,11111001010,00101100101,11010101100,01110010100,00010011111,01001111010
00010110011,10100101101,10111100010,10010001011,11111010001,10001111000,11001100111,10010010100,01010101000,01100011110,00011001101
01001110010,10100111111,01111100101,01101001011,11000011101,11010100011,10111000110,10111010001,10011101000,00011011111,01110011000
11000010101,10101101101,01101110100,00101011011,00011000110,10000111010,01010101001,10110110001,11011011000,00110011100,11100000010
01110100000,01010001100,10111000101,10011101001,11011010010,11000100111,00010110111,11110011001,00101001011,01001110101,10100111100
00101011100,01001010110,11011001000,01000011101,01110000111,10010110100,10100010011,01111110001,00010011010,00001101111,11100101010
10110100111,11001110010,11011001001,00111100001,01010110100,10001101100,01111001110,10101010101,01100111001,01001100111,00011011011
