101010011101100,000110101001111,110101101100100,000101011111001,101101010000111,110000110011101,101110100110001,011011001010101,000011110110110,011100000111110,011111110001000,011000111100011,101001101011010,110011000101011,110110011010010
101011000110001,100111101000010,010110100010101,110101001101101,110000111110000,100010011011111,001101111011001,101110110101100,111100010000011,011110001111010,000101010110110,010011110101011,111001100011110,001000101100111,011011011000100
100100011111000,110000100011110,100011111000100,000110101001011,010101010001101,011010110101000,001001001101110,110111000100010,101011000011001,011110001010100,010001101110001,111000011000011,101100100100101,000010010110111,001101110010010
011100000111110,001101011000111,100110011110010,010111110100100,010001011111001,001011110011010,111001010100010,101010010101101,111100110010001,110011000010111,101001101110100,110000111001110,011010101100011,111111001001000,100101100101011
010110100001011,011000111011010,100100101110011,011010001100111,010111101010100,110011010010011,111101001001001,110001100101110,010100010111101,000011111101001,111110110100000,001111000111010,001101110000111,100110011001110,101010100011101
010101101010101,011110000011110,111011100110000,001111110000011,100111000101101,111000110001101,001010011110101,100010101011011,010001010111011,010110111101000,110011011000110,000011110011100,100100110110110,101101011011000,001001101101110
110110110110010,101001110101110,101100101011011,011100011000110,110101001101000,010001010011011,001011001110010,000110000101111,101111010000001,110011101000111,100000011110101,011010111101001,000111111011100,011101100110101,111010000011100
101110011000101,010110110110001,110111001011000,100010111101010,001111100101100,111000101110100,100011000110111,010001011101101,110101110000110,000100101011111,011011101000011,011010010011110,110010100001101,111100000101011,101001110011001
010010000110111,001001001011101,001000110101011,011110110011100,001111101110010,110001100111000,111111000001011,010101011101110,010011111000001,111000011010010,111100101100101,100010101001110,100101110010111,100110011111001,010100101011011
010011001010011,001010111111010,111110101100001,011000010110101,011101101011100,010111010101000,000100001101111,010010111001101,101001011001001,110001111100110,100011100111101,001111110000111,111010000001110,100110011010100,110100110011011
000111000110011,010110111010101,110111001101100,101110010001111,111100100100001,110000001011011,001100101111110,111011100010110,010010100101111,100001110111101,010101110001010,001011101001001,011001011100111,011010010111000,100010111100010
011011011011000,101111101000010,010110001001111,100000011111110,001010111100101,001101001110101,100111010101001,010111110110110,111100100101100,111001010000111,100011100011101,111010000110011,110100111010001,001100110011011,010001101101011
001011110111000,101101100001101,100101010110110,110000110011011,011111100010010,000101111100011,010100101111100,111110010100001,010011000101111,001110011001110,101010101110111,100111001011001,111001001101010,011001011010101,110011111000100
100000111100111,110110010101010,000101110101101,011100000110111,011001101101010,110011100110100,001011011110001,101101110010010,110101001000001,101100001111100,011110111000100,101011000001111,111000110011001,010001011011110,000110101011011
010110000011011,001110101110000,110010111010101,011011001001100,010100110101100,101010010111110,000101011010110,000011100100111,111111110000010,111100001100111,011001010110001,110001101111010,101101100011101,001000111001011,011000100010110
110010000101010,110111110000000,111000110101101,011010101110000,011011010011110,101110000011001,100001011111000,100011100110111,010111001101101,000010111001011,001101100101010,010100010110011,110100101011110,111001001000011,101110011100110
110001100110011,101111100000110,101100010101011,010110001100111,100101001111100,001000111110110,100110111010001,010101111001010,001101101100001,001011001011011,011111010110000,111010101101000,000011110101101,111001011000101,100011011100010
001101110010110,011110101001100,001011101100010,000101001101111,111110000110010,101100111100001,010010110100111,110001101110100,100111110101000,011001100111001,101011000000101,010111011010001,111001011001010,100010101011011,001010011111100
001001111011110,100001001101101,100100011110110,110011110110100,101010111000101,111100111101000,001110010111101,011010001100110,101000100110011,101111001010000,000111111100011,111101010000111,110010011011011,100110100001110,010100101010101
011101110101000,010100101111110,110100011110001,000111111100011,110010100101001,011110011001101,111101000100111,010001110010101,011011001110000,100111010111100,101000111100100,111110110010010,110001011001010,101101101011001,001000010111011
