1001100110,0101111001,0111000101,0011001011,1110101001,1011011100,1100011111,0110101110,0010110111,1111010010
1110101100,1011110101,1111010010,1101100111,1101111001,0111001101,1011101011,0001111110,0110110011,1000011111
0101011111,0111110000,0001100111,1110000011,1100110100,1011010110,1001101010,1111001101,0010111001,0110101110
0010111101,1110100011,0111100110,1100101101,1011001111,1100011110,0101011011,1011111000,1001110111,1111010101
1110110110,1111100101,1100011101,1100101010,0111010011,0010101111,0101111100,1011111000,1001110111,1011001110
0111100110,1110101101,1111011010,1001001111,1101110100,1011100011,0100111011,0011011101,1010111110,1110010111
1100110111,0011100111,0010111110,1101101100,1111010100,0101011101,0101110010,1110001011,1011111001,1001011110
1011100100,1110001001,0111011100,1100001110,0110010111,0101101011,0010111010,1000111101,0011001111,1001010011
0111001110,1011101001,1110110100,1001111010,0101011101,1100101011,1001100111,0010111111,0111110011,1010010011
0011011101,1110001110,0100101111,1101010011,1111101000,1001111100,1010111011,1011100111,1110110101,0111110110
1110100010,1010011001,0000101111,0110010111,1001100101,0111001001,0011110011,0011111100,1101011010,0100110001
1011011100,1110001011,0001011010,1101000110,0110110110,1011110011,0111101101,1101111000,1000101111,0100010101
1001101010,1000011111,0010101110,1100110110,1000100101,1110111001,0101111101,1011011100,0011110011,1111000111
0111100100,0110111000,0011110010,0001011101,0100100111,1000111110,1010101001,1110010111,1101001010,1101110001
1010001110,1110010101,0001011100,1001011011,1001101101,0111000111,1011110110,1111101000,0010111001,0100111110
1001101110,1011110011,0110100110,1101010010,0011011111,1111001011,0101100101,0111111000,0100111011,1110011101
0001111001,1001110110,1000011110,0100010111,1100101101,1010010101,0010101111,1111001011,1110110010,0111011100
0111110110,0011011011,1110100001,1100010111,0110011100,1011000110,0101101111,1101011000,1001110101,1000111010
1101100011,0110010111,1000011011,0011001011,1111011001,1011010010,0101011110,0110111010,0001110101,1010101100
1110010111,1011110101,0000111111,0011011010,0111101101,1001100110,0101110011,1100111000,1010100011,1001001001
1000111111,1101010001,0011111000,1100101100,1011100101,0101001111,0110100011,0101110110,1001101010,1110010110
0100100111,1010001111,0110011110,1101010011,1100111001,1001111110,0011111011,1110100010,1010110101,0111001100
1011010110,0110011011,0011111001,1101011001,1110100001,1101101010,0101110111,0110111100,1000111111,0011001101
1100110111,1110011100,0011000110,1101001010,1111100001,1011111010,0001111101,0110101010,0111010011,1010001011
0111001101,0011011011,0101111000,1101010110,0111110001,0110111110,0001100111,1011100000,1000111101,1100101011
1010110001,1010001101,1110011010,1110100110,1101111100,0111101001,0100111101,0011111110,1001101011,0101010111
1111101100,1110010011,0101000110,1001001011,0100011101,0010101111,1000110110,0110111010,0001110001,0011011100
0010011011,1111001001,1110100010,1011010110,1001111011,0111110101,0101001110,1010111100,1010100111,1100010101
0011001101,0100101111,1011100110,1101011100,1111000001,1110111100,1001111001,0111011010,0101110101,1010010111
0101110011,0111011101,0011101010,1111001010,1011100001,1001001111,0110000111,1100111100,1011010110,1010011011
