11101010101110100,11100001110000011,01001101001100111,11010111100101000,01011100110010001,00101110101001011,10001111110010110,10101100010101101,10011010011100011,01000010110111111,00111001000111010,00100111011110001,10010001101011101,01111011011001100,11110110000010111,00110100111100110,11000100011011010
11101000101110100,11100001110000011,01001101001100111,11010111100101000,01011100110010001,00101110101001011,10001111110010110,10101100010101101,10011010011100011,01000010110111111,00111001000111010,00100111011110001,10010001101011101,01111011011001100,11110110000010111,00110100111100110,11000100011011010
01000010001110111,00110011011101010,10001110011100100,10100100101001111,11011000010001111,10101011000111001,01011110101001001,01101001111100101,10010011111010101,01100111010011100,11110010100100100,11111101001010010,11000111110100011,00101010110010010,11000000111111000,00011101100111110,00110100010110001
11011010110010000,01101100010111011,00010101110010111,01100010101010110,10001000111001111,11110001011100011,01011001100101110,00010010101111001,10100001110111100,11001111001110101,10010110010101110,10111101001011010,01000111111001000,11110100100001101,00111011010001101,00111100111100100,10101111100100011
11011010110010000,01101100010111011,00010101110010111,01100010001010110,10001000111001111,11110001011100011,01011001100101110,00010010101111001,10100001110111100,11001101001110101,10010110010101110,10111101001011010,01000111111001000,11110100100001101,00111011010001101,00111100111100100,10101111100100011
11010111100010010,10111010101001000,01101000110010010,01101111001101010,10100001001011111,01110101110001001,00010100111111010,10101101101110001,11111100000111100,10011001010100011,00001011100111101,11000001111100100,01110010001110001,01011100101000111,00111111011010100,11001110011011001,10100110110100111
11101000101110100,11101001110001011,01001101001101111,11010111100101000,01011100110110001,00101110101011001,10001111010010100,10100100010101101,10011010011100011,00000010110111110,00111001000111010,01100011011110001,10010001101011101,01111010011001100,11110110000010111,00110101111000110,11000100011011010
10101100110110000,00111001100100101,00001111110000110,11110111000000011,00010100011110111,10001011011100001,11001000101100110,01011100111001001,01100101011101100,01010111101110000,01100010111010101,01001110000111101,00111010001011010,10010010110101100,10000101101011101,11011001010010100,01000001110111011
11101000101110100,11101001110000011,01001101001101111,11010111100101000,01011100110110001,00101110101011011,10001111010010100,10100100010101101,10011010011100011,01000010110111110,00111001000111010,01100011011110001,10010001101011101,01111010011001100,11110110000010111,00110101111100110,11000100011011010
10010010100101111,00110101010101011,01101011001101101,01110100101111100,10110110011000101,01001100110100111,00111111100110100,01010011111010001,10100001110011101,10000101001110111,11111001101000010,10001111111101000,11011100000011001,00101110101011011,01000111000001110,00011000011011110,11100010010110010
11101000101110100,11100001110000011,01001101001101111,11011111100101000,01011100110010101,00101110101001011,10001111010010110,10100100010101101,10011010011100011,01000010110111110,00111001000111011,01100111011110001,10010011101011101,01111011011001100,11110110000000111,00110101111100110,11010100011011010
01110101010011011,10010110110101001,11100010000111110,00111111100100111,10110001001101101,10000101111110110,00001111001111000,01111000111110000,00011010011011111,10101100100011101,01010100101001110,01100110011000101,10101011111001010,11001100001100011,11011111010000100,11010011101010001,01001001110101101
11001100010110101,10101010111001100,00111111011100000,10000011011111011,00011001100111101,01100111110001001,01001111001001110,11010100101111000,01011000111000011,01110010001010101,01101010100111010,11011011110010000,11101001101100001,00100101111010110,10111100000011011,10010110100100111,11110001010101110
11111000110100011,10110110010001010,01100111100110110,00011101110111100,10000111011100101,01111011011000100,00110000001111111,11111101000010001,11001100011010110,11010010100011101,10011011101110010,11100001111011000,10101001100001111,01010101101001011,01001011010111011,11101110001101000,00101110111010001
10101100110110000,00111001100100101,00100110101101011,11110111000000011,00010100011110111,10001011011100001,11001000101100110,01011100111001001,01100101011101100,01010111101110000,01100010111010101,01001110000111101,00111011001011010,10010010110101100,10000101101011101,00001111110000110,01000001110111011
11011010101001010,10001001100111110,11010011001110100,00011110010010110,11101101001000111,01000111110100011,00011101011101000,10010100000111011,00110111100001101,10011001110010001,00101011001110011,01111100100110000,10100110111011000,01000000111011101,01110001010011010,10110000111100110,11101010010101101
10111010100110110,11101101001010010,10100111110100001,01110001011100100,00001101110011100,11011011010001010,10010100011111010,10010001101001111,00111100010000111,01000110111000110,11011000111010001,01100000100111011,00001011011110011,00111110101001000,10100010011011101,11001100001101101,01010111000010101
10011110100101100,11101110001100010,01010111101001011,11110001010001110,10001101110100011,01001011111010100,11110100111010000,00110001101110110,01111000110101001,01010110010110111,01101100100011111,00011000011011010,00111101011000101,11000001001111101,10111011000010001,00100111010111000,10100010111001111
01100101010011011,10010110010101001,11100010000111110,00111111100110010,00110001001101101,10000101111110110,01001111001111100,01111000111111000,00011010011010111,10101100100011101,01010100101001110,01100110111100101,10101011111001010,11101100001100011,11111101010000100,11010011101010001,01001001110101111
11011000110100011,10110110010001010,01100110100100110,00011101110111100,10000111011100101,01111011011000100,00110000001111111,11111101000110001,11001100011010110,11010010100011101,10011011101110010,11100001111111000,10101001100001111,01010101101001011,01001011010111011,11001110001101000,00101110111010001
10101110001110000,01011111000010011,01001001011111010,11100011100011010,10010011001101110,11101011010100101,11011101100101000,01001110111000110,00001010100111101,01110000101100011,01110110010111100,10111000010001011,00100111111001001,00111001101010100,11010010111010001,11000100001011101,10000101110110111
00110100110010011,11011110110001010,10010001111011100,01000111111110000,10100111100001101,01011011000010111,00101011011011010,11110010001111001,10110011010100110,11101000100110110,00000010111101111,00011110000111100,11000101010111011,01110101001001110,10011101101100011,01111001110101001,11101100011000101
11111100101000100,01110001100111101,01011010111110001,10101011110101000,10110011011010100,01101110010011100,00110010101001011,10011000110011110,10100100111111001,11000010001101101,11000111110000111,00111100010100111,11110110000110010,11101001001010011,01010101011101010,00001111101110110,10011111000011001
10101111100110100,01100111111000000,11000010110100101,00011111100000011,10111001110001000,11101110010011011,10000100101101010,01110100100011101,01111000001100110,00001101011101101,01010011000111000,11010101010010110,00011010111011110,00100001110110011,10110110011110001,11001001101010001,10100011001001111
11011010101001010,00001001100111110,11010011001110100,00011110010010110,11101101001000111,01000111110100011,00011101011101000,10010100000111011,00110111100001101,10011001110010001,00101010001110011,01111100100110000,10100110111011000,01010000111011101,01110001010011010,10110000111100110,11101010010101101
10111000110100011,10110111010001010,01100110100110110,00011101110111100,10000111011100101,01111011011000100,00110000001111111,11111101000010001,11001100011010110,11010010110011101,10011011101010010,11100001111111000,10101001100001111,01010101101001011,01001011010111011,11011110001101000,00101110111011001
