1011000010101111001,1101100001010111100,0110110000101011110,0011011000010101111,1001101100001010111,1100110110000101011,1110011011000010101,1111001101100001010,0111100110110000101,1011110011011000010,0101111001101100001,1010111100110110000,0101011110011011000,0010101111001101100,0001010111100110110,0000101011110011011,1000010101111001101,1100001010111100110,0110000101011110011
1110100011001101010,0111000101001010111,0000001110101111110,1001100100001111001,1101100000110110110,1011001110010100011,1010110110011010100,1100011011101010001,0110010101110111001,1001010101111001010,0011110010100011011,0001100111100100101,0111111100101100000,0101010010011101101,0000111001011110011,0101101111010011000,1100111100000001111,1010101000111001101,1011011001000111100
1101001000101011100,0111100110100010001,1100100100110100110,1001000111010111000,0111011110011100100,0110001011110001010,0000001101011010111,0001110011111010110,1010000011101100101,0010111101100111100,0110100000011111000,1010010110001011110,0101010101101101011,1011101101001000010,1000111110111001001,1011011000110110011,1100111011000110011,0001101010000101111,1111110001010001101
1100110111000101000,1101001010000011111,1011100110101010010,0100111010101100101,0001011110011101010,1010001100100101100,0111101101011000001,0110010110110010000,0111010001101001110,0001100011110111100,1010110000011111001,1100001001111110010,0000111101100011011,1001011101001010100,1000000111111001101,1010111011010000110,1101110100110100111,1011011011100100001,0010000111001110111
0101010110110010111,1100000111010111000,1010000001011010111,1111001010000001110,1010010100100101011,0011111011000110011,1000101010110100101,1011001111111000000,0010100110101011100,1001010011001101101,0110011010011001001,1101101100001011001,0000111101010001110,1100110011101000010,1111110100011100100,1110011001100010100,0001011000111111010,0111100001110001001,0100001101101100111
0000100000111111101,1100110010110000011,1000011110010011100,0100011101100100101,1100110011001101000,1001101011100110110,0110111000101011110,0010110111000110111,1111100100000101111,0101010010011110110,1011111001011000101,0011011010100101001,1110001001010111011,0101101110001010001,0001111101010101010,1111110100110110000,1010001110111100010,0111000111110001100,1001010101101011011
0101111001111100000,0101111100000010101,0110100000011110011,0011111010100101110,0001001011010111001,0000010101101101101,1100110110010101000,1000111001011011110,1101100010101011100,1001101110111000011,0010011110111010100,1010110011100010001,1100001111100110110,1011011100001111000,1111010011001000111,1011100101010100100,1110001000110001101,0110101111001001000,0111010101110011010
0110000110101101011,1011000110011010100,0100110000011011101,1100001001111011010,1001101100000001111,0010111111001011000,1101010011000111001,1010110010110010011,0000010101101110111,1001110100111101000,1010101011011100101,0001011010110101110,0111011101110000001,0101100111010110010,0011100001100111100,1111111000001110010,1110010101010101110,1100101110100110100,1101110011101000110
0110101010101101011,0111000110011011111,0100111000011110101,1100001001111011010,1001101100000001111,0010111111001011000,1101010011000111001,1010110010110010011,0000010101101110111,1001100100111101000,1010001011011100101,0001011010110101110,0111011101110000001,0101101111010110010,0011100001100111100,1011011000001110010,1110110101010101110,1110001110100110100,1101110011101000110
0011010100010111001,1101000101100101010,0111101100101010001,0110110110100001111,0010100011101111000,1111011011000011000,1001111110100110100,1110100101010010100,1000001101101011101,0010011101001100110,1011101110011001010,0110001000110111110,0100101111010101001,1010111001110000011,1100110000001111011,0001100011000010111,0100010111111010010,1111000010111100101,0101110001111001100
0000011101011111000,0101100101100111010,0000110110001100111,0011001110101011001,1010000101111010110,0001110001111001101,0100110111110010001,0101001111011000110,1001111001001010011,1011111111100100000,1111110100011001000,1101010010111110010,1001101100010110101,0010111010010011110,1010000011010101011,1100101011001111100,1100011100100001111,0110101000111100011,0111010001000110101
0010111010001001101,0010101101110100101,0101001010111100011,1111000000100111101,1011010111111101000,0101110001010001111,1000110010110110110,1110100011011010001,0100111100011111000,1001101011000111000,1100001110010001110,0110010111000110011,0110100001101101010,1111111100100000010,1001100100001100111,1000011101101011011,0011001001011010110,1100011001001100100,0101100111101010100
1001101001100000111,1101000000111011010,1110001110100001100,0110100011101100010,0010010101100011011,1110010000110000111,1000111010011001011,1100111101001010110,1000000111010110110,0011110010110010100,1111001011011010001,0101100111011001101,1001010110101100001,0011001100011100110,1111110101010101000,1010100000001111101,0100101100110110001,0101011010000111111,0000011001111101100
1100110001000011100,0010011011101011011,0000110111011100001,1000001100111001101,0111110000111000010,1011101001010010001,1101000011110001001,1010100110010011010,0001101101100101010,0110000001011101111,0011010100110111100,1111011010001101000,0101001111011010110,1100011100010110011,1011010101000000111,1001100010101110111,1110000101101110000,1010011011110100110,0110101110100000101
