001100111,100011110,101111001,111001010,011011101,111110100,110010011,110101101,010111010
010111110,110110001,111011000,001111011,101110100,011101101,111100010,100001111,011010111
100011111,101110010,001111100,110101110,010111011,001100111,110110101,111001001,011010110
101000111,011100011,101111001,111001010,011011101,111110100,110010011,110101101,000111110
110011101,100111110,101101001,011101100,010111011,111110000,001010111,111001010,110100111
011110010,100100111,110010110,001010101,110111001,101001011,111101100,010001111,000111110
000011101,101110100,011111000,111010011,010110110,001100111,111001110,110101001,100111010
001011011,011010101,100110011,111101001,110011010,101000110,101111100,011110010,010101111
100110111,011100011,101101001,101000110,001010101,111110000,110011011,010101100,001111010
001010101,100011011,110110001,111001001,111010110,101100011,101111100,011111010,010101111
101111100,011111010,110011001,010110101,011001101,111100001,111010110,001010011,100101111
011100110,001101011,100001111,010011010,011011101,110101001,101111100,111010011,000110111
001111011,001000111,100011101,101001010,011011100,101110100,110010011,111101001,010101110
101011011,110010101,000110011,110111000,001101101,111100010,100101110,011011110,010001011
011110011,101110100,111011010,001101110,101000111,110100010,111101001,100111011,010011101
111000111,000110111,101110011,100011110,001011101,111110100,110011001,100101101,011101010
001101111,101110101,111010011,011011001,110101001,010110110,111001100,101111010,100011111
011010110,011000011,101011001,111101010,010111001,111100101,100110011,110001111,001101111
110111001,111110100,010111110,001110011,101101010,001101101,110100111,100011111,011001011
100001110,110010110,001111100,111011001,110100101,011000111,101110011,010111011,111101010
