010111101000,001011011000,100011100011,100001101101,100101011010,101100110001,010001110110,110010011001,011101001011,001110101110,111111000100,000111010101
111111010000,100100011011,011001011101,111010001011,001101101001,001011110011,001110111100,111100110111,010111000111,101101001110,100011101101,010001111010
001101101011,100000011111,000011110101,111011001001,110101111101,001110011100,100110101010,010110010011,101101010110,011000111010,010011001110,111100100111
100101110011,001111111010,010111100100,111000110110,000010101111,111110001001,010100111111,110011011110,001110010111,001001111101,011001000011,101101001110
011011011000,101000111010,001101010111,001110101101,011000110011,111001100110,110001111101,100010010111,111100010000,110111001011,010100111110,000111110000
011010010000,101010011011,110110111010,010101110011,001111001010,111100000111,110001011110,000011100110,101101110100,000110011101,110011000001,011000101101
101100001011,011101001101,000101010011,110101111000,001110110100,001011101001,111010010001,011000100010,110111000010,100001100101,100011011110,010110101111
010100101110,000011101011,110011001110,011101100101,101000110010,001111001010,010110010011,011010101000,100110101101,001000011101,110101111000,000011110100
101110001101,110000010011,101100110000,011000100111,010110111010,110001101001,011101010001,001011110100,110101000110,101001001010,100111100011,000101111111
110001101011,111100101000,110010011001,101111000011,110100010110,110100100101,011011001110,011101011001,000110111011,011000110011,010111110000,101001111100
110101000110,011110001100,110011011000,101100011011,100110100101,111000101000,001001110101,101010110110,110010001111,011011000011,010100110011,000111101010
110110001010,010100110010,110001010111,000010100111,000110011001,001100000111,010101101100,101101100001,011000101011,100000111110,001011010010,111010110100
110100000010,101000101110,110010101000,010001110110,011100111100,000101111011,101111110000,100110010111,011011011010,110001001101,011111100111,111000110001
001111000001,111100000111,100001011101,010011000100,111001110000,011100011100,100110110100,001001101111,100101011010,101010001000,001010010110,010010111011
011001110001,101110100000,000110010101,100001110111,011111000110,110010100101,111100001111,110101010100,110111001011,101011011100,010110111110,000101101101
001111100110,011100010011,100110010101,111010100011,101001111011,111011010110,100110001010,111111001001,001010001111,010011111011,111100111100,110101000111
001100011011,001110110110,010000010011,101001000111,100011011010,010101011110,110110101111,011111100001,011010011101,111100110000,011000101010,000001111101
111101010010,101000111001,011110100001,110100101100,000101110101,011100011101,100010010100,010011011001,001011101100,000110111010,010000110110,100010001111
000001111010,001100110110,101100011011,101010011110,101001101101,110100001110,011000011101,111111010000,011001000011,110000110011,000111010111,011110101001
100010111101,101011010110,110110000110,111000100011,011011001001,101110010001,000101000111,001100111110,111101010100,010000011011,100101001010,010111110010
101101101010,010101011010,101011010011,110110001011,110010111010,011011001000,100111111101,011110100011,110011000110,001110011110,011000101111,111100010100
101010111001,011111010100,110100011110,100101011001,101101100010,111011000111,001001101101,110001110101,110110100001,010011101010,011100010011,000110110111
110000011010,001010111000,011101101011,100001111101,111101010100,100111110010,101100100110,000111001110,100100011001,001011010111,010110110111,111010000001
101111000100,010101101110,111000111100,000110110101,001011110010,001100001011,100101011110,011110010000,111101110001,100110100010,110010000111,110011001001
011100110011,101010010111,100001100011,111001001000,001010101001,101110100010,010000101110,100100111000,000111011010,110110000001,101100001111,001111100100
101011001010,011010111001,001110101100,011101001001,101001010001,010011100110,111100100010,100100111111,011000011110,111010000101,001110010011,110111011000
101101010000,101001001111,011100101001,010101011110,011110010011,100110100110,110111000001,100010111001,011011100100,110000010101,111010001100,001110011101
111011001100,011001110010,010101011101,010110100110,100110111000,110111001011,101010010111,010010010001,111100010000,011100101001,001111100001,110001100101
010100011010,111010001000,001111110000,100110010011,100101010110,100101101001,001010011101,010110000101,011011000011,000010101110,110000110101,101100100111
011000110111,001011011101,110011010100,011101000001,100100001101,101011001010,001111100100,111110011000,010001101000,000101011110,101001110000,000111110011
