01110011010,00011011111,01111001101,00100111100,10100000111,10001101010,01010100110,11000111001,11001010100,10111110000,01101110011
11111101010,01101110001,01101001100,10101000111,10110011001,10100110100,01110000111,00011111111,11011010100,11000101101,11000011010
11110000010,11000101110,10100011101,00100110111,00111101100,01010101001,11101110000,10011010011,01001000101,01010010100,01101011010
11001011010,01000111001,11000100111,10010010011,00011111100,11110110000,00101110011,10111101001,01110001110,10101010101,01011000001
01010101010,11101111000,11011001001,10100100111,10111011010,01100011101,11010110100,00011111101,01001010011,01111000100,11001001110
10111000001,01010010001,00001011011,10010001111,11100010100,00011111100,11001100010,00100100111,01111001010,10110110010,11100101001
11101010100,10000011110,10011000110,10110010011,11000100111,00110110110,00101001111,10001110001,11110101000,01010011101,01001011010
10010110011,10110100101,10111010101,11100011110,01110111000,01101100011,10101101000,11001110100,11011001001,00011101110,00000111101
10110001011,10001111100,00001100111,01100001110,11101001001,11011110010,00100110011,11000010111,11110100100,01010111001,00111010101
10101110101,11001101010,10011011000,00111111010,01101011011,10110001110,11111000000,01011101101,11010110011,01100111100,01011010110
00101001110,10110001001,11100100011,11011000000,10110010110,00101110101,10001011011,10000101100,00011100111,01000011101,01110111010
11101000111,00110100110,00110011001,10101101000,11100110001,10111010100,01100011100,11010011010,11010101101,00001111111,01011100000
01001011111,01110000110,00100111010,10010100101,01101101001,11010011100,11011110010,00111011001,11010001011,10101001110,11100010001
11011000011,11100100100,00000110111,10001111010,10100001011,10110010010,10010001100,10101010101,11010111001,01111011110,00111100001
10100110101,10111101000,11011110110,00010101110,11110001100,01010111001,11100100011,10011000111,10000011010,00110010010,01101011111
11001011110,11010001001,10101011101,11111010000,00111101010,10010100111,01011000101,11100101100,01001110001,00010111100,01100010111
10000101101,11110100100,01101000111,00011101010,10101110011,00110010101,11110011011,01101111001,11011000001,01000110111,11001011100
11000101001,10111110011,00100011011,00101101100,10010101111,11111001010,01101000111,11000110110,01110010101,10001011101,01011111011
01110010110,10010010111,10101000010,11100100101,10110001000,00110110011,00101111100,10010100110,11011110000,11000111010,01011001111
00111001001,10001011100,10110100101,11011101111,11101000011,01100101100,11000111001,10110111010,00101110111,01111110000,01110010111
11000010010,00100111111,10111100110,01101111010,10011011001,11101001100,11001110101,01110010001,11000101011,01010111100,01011000111
11001010001,00111101101,00001111010,01010001010,11000101001,10110010011,01100011100,01010110111,11101100110,10010111100,10000001111
01110010011,00111100101,10101011000,00011001110,11111100010,11011010001,11101000111,11010101101,01001110100,00001101011,10010110111
10010110001,00111010011,00000111011,11110011110,01110101001,10100111000,00011101100,11001100010,01001010101,10001001001,10100100111
00011111101,01110010010,10010101011,11100111000,11011000001,11011011110,01101001011,10100010111,10111100010,01000100110,11110001100
11101100100,11000111100,00001110111,10011001110,10000010101,11010110010,10100101011,00110111100,01100000110,01111011001,01010100101
11010111100,00100101111,01001011101,11100010011,01101100100,00010110001,01011101010,00111011000,00001010110,10011000101,10001111001
00110001011,00011000110,01101010011,10111100001,00101011100,01011101101,00001111010,11110011000,11100101110,00110110101,10000011111
01110110101,01001111100,10111101100,11000100010,00110101110,11000001101,10010010110,10101011011,01011001011,00001100111,01101000110
11110101001,11001010011,01010000111,01001110101,11110010100,00000011101,10111000101,01101001010,10001101110,00100110111,00011111010
11100101100,00000110111,11110100011,10110011101,00101001011,00111111000,01111000101,10111000110,11011011010,10101110001,01100010010
01111001000,00011010001,01101000111,00100111001,11110011111,10101011010,00011101110,01010110010,11111110100,11001101001,01001011100
00110000111,11000001011,01011110011,01001100110,00101011010,11110110000,10000110111,00100101101,01010011100,10011000101,10010101010
11000000101,11011001100,01011010001,10110010100,10101100000,11010100010,00110101111,10010111001,11100011011,01100111100,10001110110
11000110011,01101011001,10011100101,10001111100,01011101010,11000001111,01010010100,00001010110,10110010010,00010111111,01100100110
10001011101,11001000011,11000101100,01011010100,00101110010,01100011111,10110000111,01111101001,11111011000,10010110011,00011001010
00101011100,11000000111,00001110110,00100111011,10100100110,10010010101,01111100101,10001101001,11111010010,00011001110,11010111100
11101100100,01101010111,00101001101,00110110110,01110000101,10011110101,01111011000,01011101011,01100111001,10110001011,11000011110
10000011001,01010011111,10110000101,00101110101,00111011000,11101101101,01110110000,10100111110,10011100011,11101010011,11011010100
00111010101,10100110010,01111100010,01101111100,10011100100,00010011011,01000110111,11011010000,10101001011,11110101001,11110001110
01110111010,01111000100,11011110001,11110001001,10011101000,00111100011,11000100110,01001011011,00100111101,10111010110,00010001111
11111011001,01110010100,00011001110,00101111100,10100001101,11110101010,11001101100,01101100111,10010110101,01000111011,10101010110
01111001000,01101101110,10001101101,11001010111,11001110100,01010111101,10110011110,11100111001,11110100101,00111110011,11010101010
00101110110,11110110000,00011010101,01101101001,11111000110,00010101110,10000100011,10111011011,11100011111,01001011010,10001111100
11010000011,11001001010,01110101100,10100011110,01001011101,10111111001,00010111110,11000110000,01101110010,10001100111,10011010100
10010100111,00100111001,00011011011,01100001111,01110010100,00001110110,10101010101,11000111100,11101100001,10100011010,00111101100
01011101101,10001001111,01011001011,00100110011,00111011100,10110101010,11110000111,11101011001,10011110010,11000011110,01101100110
01110001011,10000010111,00111010110,10101001101,11001111010,01000011100,01101110101,00010111001,11011000001,11100010000,11110100100
01111100110,10110010111,01100001011,10101000001,11001010110,11010100001,01111011001,00000111101,10100111000,10011001110,00011110011
11100010101,10111010001,00101001101,00001111001,10110100011,11101100000,10010101100,00101110110,01110111000,11001011010,01011000111
