000000000001111111111,001111100001100011010,010111010000110001101,011011001001000110101,011101000100011010110,011110000010001101011,010000011111101011000,001000101110110101100,000100110111010110001,000010111011011000110,000001111100101100011,100111001010111110000,110011100101011101000,101110010101101100100,111001010011110100010,111100101001111000001,100101001111000001111,110010100110100010111,101010011100010011011,101001110010001011101,110100111000000111110
100000000001111111111,001111100001100011010,010111010000110001101,011011001001000110101,011101000100011010110,011110000010001101011,010000011111101011000,001000101110110101100,000100110111010110001,000010111011011000110,000001111100101100011,100111001010111110000,110011100101011101000,101110010101101100100,111001010011110100010,111100101001111000001,100101001111000001111,110010100110100010111,101010011100010011011,101001110010001011101,110100111000000111110
011110110010110100001,001011110101001110001,010011101111010001011,100000110101110100110,111001010011010010111,111111000100100111010,010010011011101110010,011101011100111000000,100011010110101001101,001101100011101001110,110100111001100011001,100001101010111110000,101100001111000100001,000111011001010101100,101010111000011001010,001110001100110010111,011000111110000111100,000100010110011111011,011000000001111101101,110101101000001100111,110110100111011010100
001011011100100101100,101110110001110000101,011111000110011000100,001011101011011100011,110001011011111110100,110010100010110101010,011100101101110110000,000110110001001111110,111100011011000001010,100100001100011101111,100101101111100000110,110111010101000110011,101010000111101011001,011001000001110011111,010010111111010011101,010101111000101001001,101101100010000111101,101001110100011011010,000110011010110010011,011000110110101100111,111010101000001010110
101010101111011101010,110111100000011001001,001011111010110010011,010100101001110100010,001100011100010001111,111101010011000011010,100000010000111111011,100111110101100001110,011000111010101001100,111001110100010110100,101110001001111010100,010011011101000111001,111110010110100100001,000100110111011010001,011010100001001110111,001101100100101111010,000111011010011100110,001001000011110101101,010010000110110011110,110001001111101000111,100100101010000111101
011110110010110100100,101001111001110101000,010101100111110001011,110000010101010100110,011001011010010010011,111111000100100111010,010010011011101101010,010111011101111010000,100011010110101001101,001101110001001001110,110110110001000011001,100011100011011110010,101100001111001100001,000111001000010101111,111010101100011001010,001010101101100010111,010001101110000111100,000100110100111111011,011000000001111111101,110101101000101100111,100100001010110011110
101010110011110010011,110110110000100111100,001101010111000111000,001110001010101011101,000001101100110111111,100110001101001110011,010010010110101101011,010011011001000010101,101011101010001101000,010111100010011010010,000100111001011001001,011100111010000100111,100101110110101000101,110000000011011111101,111000011100111010000,010110101111110100100,110101001011100001010,001111010001111100110,111111000100010001001,011000100101001001110,100010011110010001110
001011011100100101110,101110110001110000101,011111000110011000100,001011101011011100011,110001011011111110100,110010100010110101010,011100101101110110000,000110110011001111110,111100011011000001010,100100001100011101111,100101101111100000110,110111010101000110011,101010000111101011001,011001000001110011111,010010111111010011101,010111111000101001001,101101101010000111101,101001110100011011010,000110011010110010011,011000110110101100111,111010101000001010110
101100110000001000111,000010011110101100011,110011111000000110110,111010001001111000101,010101101101101000010,101001001111000011111,110100010111110010110,010001100110011110101,000110101010011011110,011111000011010100011,010100011101010101101,001001111011110000100,100111100100110001001,111010110111001001000,100101000011101101100,001110100101100110100,101101011100011110000,111100101010100111001,011111010000101011101,011000000100110101110,000000110001111111011
010110110011010110010,100011000111011100100,010000011111011011101,111111000000010011111,011001000110100110001,100010010010101111011,110011101011110001011,001110001011100011100,000101011010000100111,100101011101110010010,101000100101000111111,111011111001001010100,110101110110100001100,011010011100110101110,010110000101101000111,101110111110011000001,000111101100001111010,001101110001111101001,001001100010111010110,110100101000111110101,111100001011001101010
111110100010001101100,011000011011001100011,001001010000111111100,010011101011010111000,000110011110101111010,100010111000011010101,011111011101000110100,101111001011110100001,100101010011000011101,010010010110110001101,111011110010100010010,001100100110010110111,110101001110011000110,000011100101101100111,101010000101011011011,011101101000101011001,101000101111101010100,110000001000100111111,110100110101111110000,101001111100000101001,001100111001110001110
010000111100110010110,011111000110100001111,001001110101011011001,111000101010101001101,011110011011001010101,100010110111101000010,101010001111010011110,110011111001000001011,000001011011111100111,100110100100011100111,011011101110001110010,100111101010110010001,000100001101101111011,101101111101100100100,100011010000101111100,111010011100110100001,110101011110011001000,101100110010000111011,110001000111000110101,010110100011110101000,111101000001111010010
