00110110110,00101101101,11000111100,10001110011,01010101011,11111100000,10110011001,01101011010,11100000111,10011001110,01011010101
10011011010,01010111100,11001001100,01111010001,10110001101,10001110101,00111100110,11110100000,01000101011,11100010110,00101111000
11010001010,01110000111,00000111110,00011010011,10100011001,11001101101,11101010100,10101100010,10010110101,01111111000,10111001100
11000110001,10111010100,00100101101,11001101100,00101111010,11101000001,01100010110,00011100111,10010001011,01011011001,01110100000
11000011101,00111001001,11001000011,10110100111,10101111010,11110010010,01101110001,01010101110,00011010111,01101000110,11011100100
11100010100,10110001110,11110110011,00101010011,11011000101,01000001111,01011011010,00110111101,10001111111,11101101001,01101100110
11000111010,01111011001,01011100010,11001000101,11110100001,11101010010,00101101100,10011110100,00100110111,10011001011,11110001110
11101000101,10110110010,00100101111,01011000011,11000101010,00101011011,01111111100,01000110001,01100010110,10001110110,10010011101
01001000011,11000011001,01110010110,00111111001,01010110101,11010101010,10011001101,01101101100,00000111111,10001110110,10100100111
00010111101,11111101000,10001100111,01011010110,00101111010,10100110100,01101110001,10001011001,11110110011,00111000101,01100001111
11111001010,10011101001,10100011011,00011011111,11010011100,10010000111,00110110000,01000101011,00100101110,11001110110,01101000101
10001110101,10110110011,00101011011,00111000110,10001101010,01100101111,10100001101,01110111100,11011001001,11000010110,11101100000
10111100110,00001101111,01111011100,00100111010,11100001110,01010010111,10010011101,11011101011,11000110100,01110101101,11101010001
01010110011,10000011011,00101010111,11111000001,01001111001,01110011100,01100001011,00110101101,10100110000,11000100110,00111101010
10111001001,11110001110,10101100110,11100111000,11001001100,10000010111,01000101011,01101010010,00011111100,11011100001,01100100101
