0111000011000011111111,1111001111001100000000,1101111100000011001100,1110111100000000110011,0011111101110001100110,0011111110110010011001,0111110000101101101001,0111110000011110010110,1100010011110001011010,1100100011110010100101,0000111011001110101010,0000110111001101010101,0100001100110111000011,0100001100111000111100,1010010101101010001111,1010101010011001001111,1001101001100100011111,1001010110010100101111,1010011010100111110100,1010100101010111111000,1001100110101011110010,1001011001011011110001
1111010001011000000011,0011001010001111100111,1010001111010110010010,0000110001011111111010,1001100110111011010100,1001101011001000111110,0000111111011010001101,1100001000010011111101,0110000011100011001110,0101100011110110100001,0111000100001110011100,0110101101101001110001,1010100100110100101111,1100010111001101100100,0101110110000101011011,1100111000101110000110,0110110010010000110100,1011111100000011101000,0011011001110101011100,0001010101100010110111,0101011110111000101010,1010010010101110111001
0101011001011001111100,1011011110110000101010,1011000011001101001111,0001110111100001100101,1100010110010101011001,1011010001110110110001,0001001100101111101001,0111100100010100100111,1110001010100011110101,0011111010000111010010,1100111001000110101011,1000010100001111110110,0010100111011011111011,0110011111011110000100,1101100000111011000010,0110110010101100101000,1011110100001010011101,0110011101101001010011,1010101101110101011100,0101000111100110011110,0000111010111100010111,1101101111001100110000
1110110111000100100001,0100000101111010111011,0011011100001001101001,1111000100011101010111,1010101100101010010101,1101110000110001111101,1001100010101111101011,0000001011011101110101,1010000111110001001100,1110111010111001110010,0011110011011000011111,1011010001111110110000,0111101001110011000001,0101110111001011000100,1000111101010111011010,0011100101100101110110,0110100000011110101100,0110010010100111011001,1111001011000010111110,0001011110110110100111,1100011001101100001110,0101101110111100011000
1100011011010011101100,1101100010001111000110,1010011111000110000111,0110001101001101111010,0111101011010000110101,1001001010010101111011,0000011000111110110110,1011111001011000001010,0011101100110111001100,1101001111111110010000,1000101001101011011001,1011010100011011110001,0000110111110001010010,0001110111001110101001,1101111100100001100011,1010100110101000101100,1011010001100101110100,1110100001110110100011,0110011010111101000001,0101000101111001001111,1100110100010100011101,0111010010100010011010
1110110010001010100011,1011000000010001111111,1010010011001111011100,1001111010101000001110,0001110101000110111011,0110101000011011011010,0001001011101011101001,0101110010110101010001,1111011110010110101000,0100011110000001110110,1110111101100001001001,0111101001001100110100,0011010100101101100010,1000101111010101100010,1100100000100111101110,1111000111100010010010,0010100110110010111100,1100010001111000111000,1000001100101110010101,1101110101011011000100,0100000111011100001111,0010011001110110000111
1110100010011010100011,1011001000010001011111,0010010011001111011010,1001111010101100001110,1001110101000110111011,0100101100111011011010,0001001011111010101001,0101110010110101010001,1111011100010110001000,0101011110000011100111,1110111111101001001001,0111101001001100110100,0011000100101101100011,1000101111010101100010,1100000001100111101100,1111000111100010010010,0010110110110000111100,1100011001111000110010,1000001110101110010101,1001110101011011000100,0100000111011100001111,0010111001110110000111
1011011011011100000011,1011000100010110101110,0111010011010011011100,0110110000011111110011,1110001011100100111001,0001011101000011101001,1110110111101010001000,1101111000011000111100,0110111110000101001110,0000001010111011101110,1101001110001111010000,1100000101011101001101,1001010110110001011011,0111010110101100100101,0101100111010000100010,1000110011110111100100,1111101001100011000111,1010010101001001110110,0010101110010010010101,0100011101110110010110,0001100011001110011111,0011101101111101011000
1111010000011000001111,0011001000101010111011,0011010010110011010100,1111011101111000110000,0001000111011010101110,0100011011000001111101,1101101010110001100011,1010010011101111101001,0010110111100000100111,0111000111100101011010,0000111001111101001110,0110110010011110110010,0110101101010011001001,0111100001001101100101,1010001110011101010101,1100000001110110110111,1100100100101011111100,1001110101001011010011,1011011100000111100110,0001110100010100111001,0101011110101110000101,1011101011000110011100
1101111010001101100100,1010011001100111110001,0100110101011110110001,1000010100111001111110,1001000011110110100110,1111000110010111010001,1011110111001010001000,0000001011001011010101,0110001101010011101100,1101001001011100011010,0011100001111001010100,0001010101000101001111,1110100011000000111111,1100111111110001000011,0111011100100010010110,1010101100001110000111,0001101110100100111001,0011011010011000100011,0110010010111100001101,0010111010010111011010,0101100000101011101011,0110000111101101100010
1111010001011000000011,0011001010001111100111,1010001111010110010010,0000110001011111111010,1001100010111001010100,1001101001000000111110,0000111111011010001101,1100001000010011111101,0110000011100011001110,0101100011110110100001,0111100100001110011100,0110101101101001110001,1010100100110101101111,1100010111001101100100,0101111110000101011011,1100111000101110000010,0110111010010000110110,1011110110000011101000,0011011001110101001100,0001010100100010110111,0101001110111000101010,1010010010101100111001
1101101100111010000111,0101110010010101010101,1010011100000011010111,0000000010111110111111,0110001100011101100001,0011001011110011100100,1001011101110100111001,1110010001111011011000,1001000001001101110110,1010101010110101011010,0110100101100110110010,1010110110111000110100,1111010110010110101110,0011000111011000011011,1111101010001010111001,0000111111001111001100,0101011110101001110010,0100111001010000111110,1100000111100001101101,1110011011101100000111,0011110000101001101111,1000110011010011100011
1100011011010011101100,1101100010001111010110,1010001111000110000111,0110001101001101111010,0111101011010000110101,1001000010010101111011,0000011000111110110110,1011111001011000001010,0011101100110111001100,1101001111111100010000,1000101001101011011001,1011010100011011110001,0000110111110001010010,0001110111001110101001,1101111100100001100011,1010100110101000101100,1011010001100101110100,1110100001110110100010,0110011010111101000001,0101000101111001001111,1100110100010100011101,0111010010100010011010
1100101000101110111010,0000101011110101111001,0110011010100010101101,1100110111000000011011,0011110001101001101011,1010100000110011010111,0101000100111000011101,1010110100110100101100,1000011001011011001100,1111101100010011101001,1001101111101110000101,1110000001001101110101,0110101111011000100110,0100011101110110100011,0011001101000110011110,1111000011110101001010,0000000110011111101111,1001011110100001110110,1010000111111010110000,1011011010011100010011,0101110011010110110100,0110111110101111010000
1100011011010011101100,1101100010001111010110,1010001111000110000111,0110001101001101111010,0111101011010000110101,1001000010110101111011,0000011000111110110110,1011111001011000001010,0011101100110111001100,1101001111111100010000,1000101001101011011001,1011010100011011110001,0000110111110001010010,0001110111001110101001,1101111100100001100011,1010100110101000101100,1011010001100101010100,1110100001110110100010,0110010010111101000001,0101000101111010001111,1100110100010100011101,0111011010100010011010
1111000110001001010101,1001011010011110011000,0111010110101010101010,0001001010101100100111,1100110100101110000100,1110011111100100010011,1010101000101010111001,0110100011111101001000,0001100111000110110001,1000100110100101111110,0010110010110011010111,1010101111011010100110,1101110001111000110010,0010010101011100111101,1111100000010110001111,0101001101110010011100,1011000001101111010110,0001111101001001001011,1100010011000011101101,0100001100011111110011,0111111000000101110100,1011011100110101100001
0101111011001001101110,0000110100001011111001,1111111100101100001000,0011100111100111000101,1011011111010001011010,0101011110010110110011,0010110010110100111110,1101100001110011110000,1110101010000010011011,0011001000011010011100,0110011101100000110101,1010011010111011100001,1101010000110001001111,0110000001010101101001,1011100101011000100111,0100000111111010001010,1100101110011101010100,1001000011101100111101,0000101001111101010011,1000001100100111101110,1000111001010110001101,1110010001001111010110
1100000101111100101011,1011010011010001001110,0001001000101111001111,0100001111000011110011,0000111101110101010110,1011001100010100011101,0110010110111010000101,1001010010110111110001,1101000110100000010110,1100101110110011001000,1101111000011001110111,0101110110000101101101,1110001011101101100100,1000100011001110011101,0101011011011100011000,1001011101101010101100,1110010100001111011010,1111111001100110000011,0111100001110010111100,0011101110011110100010,0011100101101001010001,0010111010100000111011
1011110011011111000100,1100011111000110100010,1101110100111000101000,0110110100100111011100,0101111001010100011011,1111101001001001110110,1101001110001101011101,0100100111111011000111,0111000010010010101110,0011010111001001011010,0000101111011100111100,0001011101010011101101,0001101010101111101010,1000011000111010011110,1010000100110101110011,1110001011110001001000,0011111110100000000111,1010101100001010001011,0110010001101100101101,1001100011100010111001,0110111010011011110001,0111001101111110010000
1110010100100111101000,0001000100111010001111,0111111101110001000100,1010100011110110010101,0010100110001101100110,0010001001110001111010,0100100111010101001011,1000111101001011011010,0101101011101110101000,0011110001000100101111,1011001111000011100001,0110111110010010110011,0100010001011111110101,1101010111100000110110,1110011011011000001101,1111001000101101010011,0000011110100101011101,0111100010000011011100,1001011010010111000110,1101101100010100111100,1001110010111001101001,0011010111011100011000
1100110101111010101001,1001000111001110110101,0110101111010011010100,1000100011100111111010,0111001100100111100011,1001011011110001000001,0000111110111100010110,0011010101101001011000,0101111000000001111101,0101100001011101010011,1011110000011011100110,0011101011101010001111,0101010111010110001110,0110000010111101101101,1000001101011001101110,1110011010001011011011,1010110101000101001101,1111001000110110011100,1101100110101001000110,1011100110010000111011,1111111011001100100000,1110010001100000110111
1100000101111100101011,1011010011010001001111,0001001000101111001111,0100001111000011110011,0000111101110101010110,1011001100010100011101,0110010110111010000101,1001010010110111110001,1101000110100000010110,1100101110110011001000,1101111000011001110111,0101110110000101101101,1110001011101101100100,1000100011001110011101,0101011011011100011000,1001011101101010101100,1110010100001111011010,1111111001100110000011,0111100001110010111100,0011100110011110100010,0011100101101001010001,0010111010100000111011
1000100111110100010001,1100111001000101110010,0101111110011001010100,1110101110000010100110,0010011101110101100100,0101011010100110110101,1100000100101111011100,1010010010101001110111,0011100011001100111100,1001001100111000111010,0100010111011110101011,1110001001011000011101,1001110000010011101101,0101000011110001001110,0111100000111101100011,0000101011101011101001,0011000101000011010011,1001001011011111000110,0010111010110110011010,1111110001101010000000,0001111101101100001111,1111011110000101001001
0010110110000011110100,1111110100011100000101,1111000101010010110011,1001011100110110100110,0100100111010100101110,1100011110011101010010,1011010011001101101010,0101110000010111011000,0011001010010100111101,0011111101001000011110,1110001100101110111000,0110011001111001100100,1000010101100101011101,0000110100111000111011,0001101101001111100001,1100101000000001101111,0101000110101011001111,1101100011101000110100,1011101111110001001000,0110111011100110000011,1000011011011010001101,1010100001111111010110
1110110010001010100011,1011001000010001011111,1010010011001111011000,1001111010100100001110,0001110101000110111011,0100101000111111001010,0001001011111011101001,0101110010110101010001,1111011100010110101000,0100011110000011110110,0110111101100001001001,0111101001001100110100,0011010100101101100110,1010101111010101100010,1100000001100111101101,1111000111100010010010,0010100110110010111100,1100010001111000111010,1000001100101100010001,1001110101011011000100,0100000111011100001111,0010011001110110000111
0111100011001001111110,0001011011111101000010,1010010010011011010111,1010101110100101011010,0001000100101011110011,1000100011111110100100,1011010110001100101101,0010001101010100100111,1001011000000110111110,1111001100111000010100,0100101100001111001101,0110011111101010101010,1011111101000011100000,1100011011100001110101,1100110100110001101110,0010111000111100111001,0001110111110010011101,0100010110010111110000,1100110101001100010011,0111110010100110000111,1111000001110111001001,1101101010010000101011
0001001101101011011111,0010110111001011101000,0110001100011111100101,0101111111110000100110,0110011011110110011000,1100100011011010011111,1111001010001000101010,0111110001001101010011,0001100110111100110001,1101010101010001111001,1011111010000011010101,1010111100110000001011,1101110100101110001100,0011010000011010110110,1000011001101010100001,1000011110011101010010,1110100100100011110010,1001101001010111101010,1011000011111001000100,1011000111000110000011,0000010010100101101111,1010101101000100111100
0110011011110100100101,0001100111010101110001,0110001100111011110000,0001111010101010100010,0010110001101100111001,1111101010010010011001,0100100000100111010111,1111110100001001100101,1000001011001111101101,1011000010111101001011,0010111101010011001011,0101101101111100001100,0011011110000101011100,1110101111001100010010,1001001101100000110111,1100111000010101111010,0111000100000110101011,1101010111100011001000,0100010110011000011111,1010100110110110101100,1011010001011110010110,0111100011000001111110
1110000011000111001101,0100101101010001100111,0011111010000011101110,0101110001011100111100,0111000110101101100010,0111111100100110000001,1001100100011111001011,1101010100100011110101,1000110111110101100000,1100101010101010101001,1001011011001100000111,0011100011111011010101,1011001001110100111011,0100011001101111010010,1110110000111000000110,0101001111110010001110,1011101101101001001100,0000100110100100011111,1010001100011110110100,1111100111000010010010,0110011110011001011001,0010010101101010101011
1010110100011010101111,0001111101110111100001,1011100110010111010110,1101111100101001010010,0110111110000110011001,1011010110001101101000,0011011001001110011110,0000001011001011111011,1100110011011110110010,0111100000100111101010,1011110011100000110101,1111010001010011011001,1101011010010100100111,0101100101010000111100,1001101010111010001000,1110101001001101000101,0111000111111000000011,0110011010111011110100,1010001101110100111010,0000110010111101011111,1101000100101110110101,1100010111100011001110
1110100000010111010111,1001000001111100110110,0000101110011100111101,0101100101100001110001,0010110001001101101110,1011111010010001110000,0000011101010111100011,1011000100001101001001,0110011001001000010011,1101110110001110110010,1110001111101011100100,1000110011111011011001,0011111011100110000101,0001001111000011011110,0101011000101111111100,0111000011010010101011,1100101010100101001011,0110010111110100011000,1010010100100010111111,1101111101010000001100,0101010110111001000111,0011101100111010001010
